================================================================================
ROBUSTNESS METRICS SUMMARY REPORT
================================================================================
Generated: 2026-01-23 15:35:03
Output directory: ./analysis/robustness_results\hydra

--------------------------------------------------------------------------------
OVERVIEW
--------------------------------------------------------------------------------
aupc_raw            :   1080 rows,  7 columns
aupc_summary        :    216 rows, 11 columns
rd_curve            : 1298007 rows, 10 columns
rd_summary          :   4392 rows, 12 columns
csv_curve           :  21960 rows,  8 columns
csv_summary         :   4392 rows, 12 columns

--------------------------------------------------------------------------------
AUPC (Area Under Perturbation Curve) SUMMARY
--------------------------------------------------------------------------------

Statistics by grouping:
      dataset  tune     eval_mode   model noise_type  n     mean      std      sem   ci_low  ci_high
      BI2015a False  CrossSession CNN-NCP    dropout  5 0.576564 0.009390 0.004199 0.568334 0.584795
      BI2015a False  CrossSession CNN-NCP        eog  5 0.580909 0.013170 0.005890 0.569365 0.592453
      BI2015a False  CrossSession CNN-NCP   gaussian  5 0.570131 0.007389 0.003304 0.563655 0.576608
      BI2015a False  CrossSession  EEGNet    dropout  5 0.731642 0.002161 0.000967 0.729748 0.733537
      BI2015a False  CrossSession  EEGNet        eog  5 0.682600 0.007409 0.003313 0.676107 0.689094
      BI2015a False  CrossSession  EEGNet   gaussian  5 0.826814 0.002203 0.000985 0.824883 0.828745
      BI2015a False  CrossSession   HYDRA    dropout  5 0.719573 0.003291 0.001472 0.716688 0.722457
      BI2015a False  CrossSession   HYDRA        eog  5 0.709386 0.001052 0.000471 0.708464 0.710309
      BI2015a False  CrossSession   HYDRA   gaussian  5 0.799456 0.004947 0.002212 0.795119 0.803792
      BI2015a False  CrossSession REEGNet    dropout  5 0.513086 0.001613 0.000721 0.511672 0.514500
      BI2015a False  CrossSession REEGNet        eog  5 0.517445 0.003560 0.001592 0.514325 0.520566
      BI2015a False  CrossSession REEGNet   gaussian  5 0.508199 0.002362 0.001056 0.506129 0.510269
      BI2015a False  CrossSubject CNN-NCP    dropout  5 0.676021 0.001362 0.000609 0.674827 0.677215
      BI2015a False  CrossSubject CNN-NCP        eog  5 0.658425 0.019504 0.008722 0.641329 0.675521
      BI2015a False  CrossSubject CNN-NCP   gaussian  5 0.655233 0.019631 0.008779 0.638026 0.672440
      BI2015a False  CrossSubject  EEGNet    dropout  5 0.677871 0.002632 0.001177 0.675564 0.680178
      BI2015a False  CrossSubject  EEGNet        eog  5 0.637350 0.004078 0.001824 0.633776 0.640924
      BI2015a False  CrossSubject  EEGNet   gaussian  5 0.711993 0.002632 0.001177 0.709685 0.714300
      BI2015a False  CrossSubject   HYDRA    dropout  5 0.660548 0.009667 0.004323 0.652075 0.669021
      BI2015a False  CrossSubject   HYDRA        eog  5 0.633722 0.009698 0.004337 0.625221 0.642223
      BI2015a False  CrossSubject   HYDRA   gaussian  5 0.694783 0.009503 0.004250 0.686453 0.703112
      BI2015a False  CrossSubject REEGNet    dropout  5 0.664287 0.020520 0.009177 0.646300 0.682274
      BI2015a False  CrossSubject REEGNet        eog  5 0.655996 0.022844 0.010216 0.635973 0.676019
      BI2015a False  CrossSubject REEGNet   gaussian  5 0.594749 0.018312 0.008189 0.578698 0.610800
      BI2015a False WithinSession CNN-NCP    dropout  5 0.503564 0.003914 0.001750 0.500133 0.506995
      BI2015a False WithinSession CNN-NCP        eog  5 0.511220 0.005311 0.002375 0.506565 0.515876
      BI2015a False WithinSession CNN-NCP   gaussian  5 0.497830 0.003774 0.001688 0.494522 0.501137
      BI2015a False WithinSession  EEGNet    dropout  5 0.724327 0.001125 0.000503 0.723341 0.725313
      BI2015a False WithinSession  EEGNet        eog  5 0.693876 0.008279 0.003703 0.686618 0.701133
      BI2015a False WithinSession  EEGNet   gaussian  5 0.816966 0.003133 0.001401 0.814220 0.819713
      BI2015a False WithinSession   HYDRA    dropout  5 0.651818 0.004964 0.002220 0.647466 0.656169
      BI2015a False WithinSession   HYDRA        eog  5 0.635713 0.005721 0.002559 0.630698 0.640728
