================================================================================
ROBUSTNESS METRICS SUMMARY REPORT
================================================================================
Generated: 2026-01-23 15:16:34
Output directory: ./analysis/robustness_results

--------------------------------------------------------------------------------
OVERVIEW
--------------------------------------------------------------------------------
aupc_raw            :    810 rows,  7 columns
aupc_summary        :    162 rows, 11 columns
rd_curve            : 973137 rows, 10 columns
rd_summary          :   3294 rows, 12 columns
csv_curve           :  16470 rows,  8 columns
csv_summary         :   3294 rows, 12 columns

--------------------------------------------------------------------------------
AUPC (Area Under Perturbation Curve) SUMMARY
--------------------------------------------------------------------------------

Statistics by grouping:
      dataset  tune     eval_mode   model noise_type  n     mean      std      sem   ci_low  ci_high
      BI2015a False  CrossSession CNN-NCP    dropout  5 0.582507 0.009446 0.004224 0.574227 0.590787
      BI2015a False  CrossSession CNN-NCP        eog  5 0.586758 0.013240 0.005921 0.575153 0.598364
      BI2015a False  CrossSession CNN-NCP   gaussian  5 0.576119 0.007439 0.003327 0.569599 0.582639
      BI2015a False  CrossSession  EEGNet    dropout  5 0.738818 0.002166 0.000969 0.736920 0.740716
      BI2015a False  CrossSession  EEGNet        eog  5 0.689541 0.007450 0.003332 0.683011 0.696071
      BI2015a False  CrossSession  EEGNet   gaussian  5 0.834057 0.002209 0.000988 0.832121 0.835994
      BI2015a False  CrossSession REEGNet    dropout  5 0.518416 0.001625 0.000727 0.516992 0.519840
      BI2015a False  CrossSession REEGNet        eog  5 0.522786 0.003590 0.001606 0.519639 0.525933
      BI2015a False  CrossSession REEGNet   gaussian  5 0.513545 0.002358 0.001055 0.511478 0.515612
      BI2015a False  CrossSubject CNN-NCP    dropout  5 0.682791 0.001369 0.000612 0.681592 0.683991
      BI2015a False  CrossSubject CNN-NCP        eog  5 0.665089 0.019514 0.008727 0.647985 0.682194
      BI2015a False  CrossSubject CNN-NCP   gaussian  5 0.662064 0.019638 0.008783 0.644850 0.679278
      BI2015a False  CrossSubject  EEGNet    dropout  5 0.684623 0.002638 0.001180 0.682311 0.686936
      BI2015a False  CrossSubject  EEGNet        eog  5 0.644011 0.004099 0.001833 0.640418 0.647604
      BI2015a False  CrossSubject  EEGNet   gaussian  5 0.718803 0.002639 0.001180 0.716490 0.721117
      BI2015a False  CrossSubject REEGNet    dropout  5 0.670875 0.020706 0.009260 0.652726 0.689025
      BI2015a False  CrossSubject REEGNet        eog  5 0.662550 0.023022 0.010296 0.642371 0.682730
      BI2015a False  CrossSubject REEGNet   gaussian  5 0.601384 0.018383 0.008221 0.585270 0.617497
      BI2015a False WithinSession CNN-NCP    dropout  5 0.508711 0.003953 0.001768 0.505246 0.512176
      BI2015a False WithinSession CNN-NCP        eog  5 0.516516 0.005337 0.002387 0.511837 0.521194
      BI2015a False WithinSession CNN-NCP   gaussian  5 0.502967 0.003808 0.001703 0.499629 0.506304
      BI2015a False WithinSession  EEGNet    dropout  5 0.731393 0.001115 0.000498 0.730416 0.732370
      BI2015a False WithinSession  EEGNet        eog  5 0.700718 0.008330 0.003725 0.693416 0.708020
      BI2015a False WithinSession  EEGNet   gaussian  5 0.824092 0.003149 0.001408 0.821332 0.826852
      BI2015a False WithinSession REEGNet    dropout  5 0.502138 0.006028 0.002696 0.496854 0.507421
      BI2015a False WithinSession REEGNet        eog  5 0.501747 0.005636 0.002520 0.496807 0.506687
      BI2015a False WithinSession REEGNet   gaussian  5 0.497303 0.005876 0.002628 0.492152 0.502454
      BI2015a  True  CrossSession CNN-NCP    dropout  5 0.686253 0.002966 0.001326 0.683653 0.688853
      BI2015a  True  CrossSession CNN-NCP        eog  5 0.672414 0.001423 0.000636 0.671167 0.673661
      BI2015a  True  CrossSession CNN-NCP   gaussian  5 0.698582 0.005490 0.002455 0.693769 0.703395
      BI2015a  True  CrossSession  EEGNet    dropout  5 0.751263 0.000899 0.000402 0.750475 0.752050
      BI2015a  True  CrossSession  EEGNet        eog  5 0.693163 0.001643 0.000735 0.691723 0.694603
