dataset,noise_type,saturation_point,performance_at_saturation,performance_std,chance_threshold,is_significant,confidence_interval_lower,confidence_interval_upper,detection_method
BNCI2014_001,gaussian,84.375,0.6285108024691357,0.03893118264200804,0.5712,True,0.6043810054751954,0.6526405994630761,adaptive_three_phase
BNCI2014_001,dropout,75.0,0.5699588477366255,0.026019191515703484,0.5712,True,0.5405153607742774,0.5994023346989736,simplified_below_chance
BNCI2014_001,eog,25.0,0.504468878600823,0.01726624697671244,0.5712,True,0.48493028081462003,0.524007476387026,simplified_below_chance
BNCI2014_001,spike,100.0,0.7896733539094649,0.1,0.5712,False,0.6896733539094649,0.8896733539094649,coarse_exploration_only
Lee2019_SSVEP,gaussian,100.0,0.9473333333333332,0.1,0.32,False,0.8473333333333333,1.0473333333333332,coarse_exploration_only
Lee2019_SSVEP,dropout,100.0,0.46,0.1,0.32,False,0.36,0.56,coarse_exploration_only
Lee2019_SSVEP,eog,100.0,0.5256,0.1,0.32,False,0.4256,0.6255999999999999,coarse_exploration_only
Lee2019_SSVEP,spike,100.0,0.9712,0.1,0.32,False,0.8712,1.0712,coarse_exploration_only
Lee2019_MI,gaussian,50.0,0.4664,0.013906353464034585,0.58,True,0.45066347964482334,0.4821365203551766,simplified_below_chance
Lee2019_MI,dropout,50.0,0.5182666666666667,0.09442560857921725,0.58,True,0.41141403162472023,0.6251193017086131,simplified_below_chance
Lee2019_MI,eog,25.0,0.5309333333333334,0.04174536567758819,0.58,True,0.48369400503503857,0.5781726616316282,simplified_below_chance
Lee2019_MI,spike,75.0,0.5335333333333333,0.026388044430932903,0.58,True,0.503672450004383,0.5633942166622836,simplified_below_chance
BI2015a,gaussian,100.0,0.911888888888889,0.1,0.5472,False,0.811888888888889,1.011888888888889,coarse_exploration_only
BI2015a,dropout,100.0,0.5,0.0,0.5472,True,0.5,0.5,simplified_below_chance
BI2015a,eog,25.0,0.49912962962962965,0.04262966985228337,0.5472,True,0.4508896169548555,0.5473696423044038,simplified_below_chance
BI2015a,spike,100.0,0.9281481481481482,0.1,0.5472,False,0.8281481481481482,1.0281481481481483,coarse_exploration_only
Shin2017A,gaussian,25.0,0.4444444444444445,0.0785674201318386,0.58,True,0.35553703896564764,0.5333518499232413,simplified_below_chance
Shin2017A,dropout,50.0,0.5,0.23570226039551584,0.58,True,0.2332777835636095,0.7667222164363905,simplified_below_chance
Shin2017A,eog,25.0,0.5555555555555557,0.15713484026367724,0.58,True,0.37774074459796203,0.7333703665131494,simplified_below_chance
Shin2017A,spike,100.0,0.5555555555555556,0.3424674446093876,0.58,True,0.16801715974108572,0.9430939513700254,simplified_below_chance
